Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER,Purchase-URL
"J25, J8",2,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x08, script generated",,,,,,,,,,,,
"J31, J54, J58, J59, J60, J61, J62, J63, J64, J65, J66, J67, J68",13,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated",,,,,,,,,,,,
"J34, J35, J36, J37, J38, J39, J40, J41, J42, J43, J45, J46, J47, J48, J49, J50",16,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,,,,,,,
"R1, R2",2,4k7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,,,,,,,
R3,1,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,,,,,,,
U1,1,ESP32-DEVKITC-32E,MODULE_ESP32-DEVKITC-32E,None,,,tht,,Espressif Systems,,None,https://www.snapeda.com/parts/ESP32-DEVKITC-32E/Espressif+Systems/view-part/?ref=eda,Manufacturer Recommendations,1.4,https://www.snapeda.com/parts/ESP32-DEVKITC-32E/Espressif+Systems/view-part/?ref=snap,ESP32-DEVKITC-32E,"The ESP32-DEVKITC-32E transceiver evaluation board from Espressif Systems is a powerful development tool for wireless communication technologies. It supports 802.11 b/g/n Wi-Fi and Bluetooth® Smart Ready 4.x (BLE) dual-mode at 2.4GHz, making it ideal for a variety of IoT applications. Equipped with a PCB antenna and 4MB flash, this board provides reliable connectivity and ample memory for developing and testing RF, RFID, and wireless solutions.",In Stock,Espressif Systems,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4719025&manufacturer=Espressif Systems&part_name=ESP32-DEVKITC-32E&search_term=esp32
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U2, U3, U4",12,~,XGP6847A_TiagoDias,,,,tht,,,,,,,,,,,,,
"U19, U7, U9",3,3297,MODULE_3297,None,,,tht,,Adafruit Industries,NA,None,https://www.snapeda.com/parts/3297/Adafruit+Industries/view-part/?ref=eda,Manufacturer Recommendations,2020-11-20,https://www.snapeda.com/parts/3297/Adafruit+Industries/view-part/?ref=snap,3297,DRV8833 - Motor Controller/Driver Power Management Evaluation Board,In Stock,Adafruit,
"U20, U6, U8",3,ULN2803A,UNL,DIP-18 Allegro MicroSystems LLC,,,tht,,STMicroelectronics,3.93mm,None,https://www.snapeda.com/parts/ULN2803A/STMicroelectronics/view-part/?ref=eda,IPC-7351B,4,https://www.snapeda.com/parts/ULN2803A/STMicroelectronics/view-part/?ref=snap,ULN2803A,Bipolar (BJT) Transistor Array 8 NPN Darlington 50V 500mA - 2.25W Through Hole 18-DIP,In Stock,STMicroelectronics,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=229416&manufacturer=STMicroelectronics&part_name=ULN2803A&search_term=None
"U21, U5",2,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,,,,smt,16-channel 12-bit PWM Fm+ I2C-bus LED controller RGBA TSSOP,,,,,,,,,,,,
U22,1,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,,,,smt,"High-Speed CMOS Logic 16-Channel Analog Multiplexer/Demultiplexer, SSOP-24",,,,,,,,,,,,
